
#Extraction Industry Names
STR_IND_FARMS													:(1-Extraction) Farms & Forestries
STR_IND_MINES_AND_QUARRIES										:(1-Extraction) Wells, Mines & Quarries
STR_IND_FISHING_OFFSHORE										:(1-Extraction) Offshore Locations

#Processing Industry Names
STR_IND_HEAVY_IND												:(2-Processing) Rocks & Sediments
STR_IND_PROCESSING_2											:(2-Processing) Metals
STR_IND_PROCESSING_3											:(2-Processing) Pulp & Plastics
STR_IND_UTILITY_COMP											:(2-Processing) Reclamation Facilities
STR_IND_ENRICHMENT												:(2-Processing) Enrichment Facilities

#Manufacturing Industry Names
STR_IND_MANUFACTURING_IND										:(3-Manufacturing) Component Manufacturing Facilities
STR_IND_MANUFACTURING_2											:(3-Manufacturing) Consumer Goods Manufacturing Facilities
STR_IND_FOOD_PROCESSING											:(3-Manufacturing) Food and Fibres Processing Facilities
STR_IND_SUPPLIES												:(3-Manufacturing) Supplies Manufacturing Facilities

#Distribution Industry Names


#Utilities Industry Names
STR_IND_DISPOSAL												:(5-Utilities) Disposal Sites
STR_IND_POWER_GENERATION										:(5-Utilities) Power Generation Sites

#Import/Export Industry Names
STR_IND_IMPORT_EXPORT											:(6-Import & Export) Raw & Processed Materials
STR_IND_IMPORT_EXPORT_2											:(6-Import & Export) Organic Materials
STR_IND_IMPORT_EXPORT_3											:(6-Import & Export) Manufactured Goods
STR_IND_IMPORT_EXPORT_4											:(6-Import & Export) People and Places



#Extraction Industry Station Names
STR_STATION_FARMS												:Farms & Forestry
STR_STATION_MINES_AND_QUARRIES									:Mines & Quarries
STR_STATION_FISHING_OFFSHORE									:Offshore Location

#Processing Industry Station Names
STR_STATION_HEAVY_IND											:Processing Facility
STR_STATION_PROCESSING_2										:Processing Facility
STR_STATION_PROCESSING_3										:Processing Facility
STR_STATION_UTILITY_COMP										:Reclamation Facility
STR_STATION_ENRICHMENT											:Enrichment Facility

#Manufacturing Industry Station Names
STR_STATION_MANUFACTURING_IND									:Manufacturing Facility
STR_STATION_MANUFACTURING_2										:Manufacturing Facility
STR_STATION_FOOD_PROCESSING										:Processing Facility
STR_STATION_SUPPLIES											:Supplies Manufacturing Facility

#Distribution Industry Station Names
STR_STATION_RESIDENTIAL											:Residential Location
STR_STATION_SERVICES											:Service Location
STR_STATION_RETAIL												:Retail Location

#Utilities Industry Station Names
STR_STATION_DISPOSAL											:Disposal Site
STR_STATION_POWER_GENERATION									:Power Station

#Import/Export Industry Station Names
STR_STATION_IMPORT_EXPORT										:Import & Export
STR_STATION_IMPORT_EXPORT_2										:Import & Export
STR_STATION_IMPORT_EXPORT_3										:Import & Export
STR_STATION_IMPORT_EXPORT_4										:Import & Export



#Extraction Extra Fund Window Text
STR_FUND_FARMS													:{BLACK}Represents resources grown, produced or raised through farming or forestry.{}{BLACK}- Create farms for Plant Fibres, Cereal & Grains and Fruit & Vegetables.{}{BLACK}- Create amimal farms to produce Livestock, Milk or Wool.{}{BLACK}- Create logging operations to produce Logs.
STR_FUND_MINES_AND_QUARRIES										:{BLACK}Represents resources extracted through mining, drilling and quarries.{}{BLACK}- Create mines for Coal, Iron Ore, Bauxite, Potash, Uranium and Copper Ore.{}{BLACK}- Create quarries for Aggregates, Clay and Sand.{}{BLACK}- Create wells for Crude Oil.
STR_FUND_FISHING_OFFSHORE										:{BLACK}Represents resources farmed or extracted at sea.{}{BLACK}- Create fishing sites for Seafood.{}{BLACK}- Create dredging sites for Aggregates, Clay and Sand. {}{BLACK}- Create oil rigs for Crude Oil.

#Processing Extra Fund Window Text
STR_FUND_HEAVY_IND												:{BLACK}Represents processing of extracted materials into products used by other processes.{}{BLACK}- Create refineries to process Crude Oil into Chemical Products and Petroleum Fuels.{}{BLACK}- Create facilities to process Aggregates, Sand, Recycled Glass and Clay into Cement.{}{BLACK}- Create facilities to process Mineral Ore and Coal into Chemical Products.{}{BLACK}- Create facilities to process Sand and Coal into Glass Products.
STR_FUND_PROCESSING_2											:{BLACK}Represents processing of extracted materials into products used by other processes.{}{BLACK}- Create mills to process Iron Ore, Bauxite, Copper Ore, Recycled Metal, Coal and Chemical Products into Steel, Aluminium and Copper.{}{BLACK}- Create faciliities to process Aggregates, Coal and Chemical Products into Silicon.
STR_FUND_PROCESSING_3											:{BLACK}Represents processing of extracted materials into products used by other processes.{}{BLACK}- Create refineries to process Mineral Ore, Coal and Chemical Products into Lithium Carbonate.{}{BLACK}- Create mills to process Wood Products, Recycled Paper and Chemical Products into Wood Products and Paper Products.{}{BLACK}- Create facilities to process Petrochemicals and Recycled Plastic into Plastic Products.
STR_FUND_UTILITY_COMP											:{BLACK}Represents recycling to produce new resuable product.{}{BLACK}- Create reclamation facilities to process Recyclables into Metal Products, Glass Products, Paper Products and Plastic Products.
